,0
0,0.1156883232558537
1,0.12947530887266714
2,0.1432622944894806
3,0.15704928010629407
4,0.1708362657231075
5,0.18462325133992097
6,0.19841023695673443
7,0.21219722257354787
8,0.2259842081903613
9,0.23977119380717477
10,0.25355817942398823
11,0.2683668935837071
12,0.2832520382865895
13,0.2981371829894719
14,0.3130223276923543
15,0.32790747239523665
16,0.34279261709811903
17,0.3576777618010014
18,0.37256290650388385
19,0.38744805120676623
20,0.4136573503078441
21,0.4399373956486
22,0.46621744098935586
23,0.49249748633011164
24,0.5187775316708675
25,0.5450575770116233
26,0.5713376223523791
27,0.5976176676931348
28,0.6238977130338906
29,0.6491840262965541
30,0.673711669140227
31,0.6982393119838998
32,0.7227669548275726
33,0.7472945976712455
34,0.7718222405149182
35,0.7925478472007167
36,0.804942019009095
37,0.8173361908174733
38,0.8297303626258516
39,0.84212453443423
40,0.8545187062426083
41,0.8669128780509867
42,0.879307049859365
43,0.8917012216677433
44,0.9040953934761217
45,0.9164895652845
46,0.9288837370928784
47,0.9412779089012567
48,0.9536720807096352
49,0.9660662525180135
50,0.9784604243263918
51,0.9908545961347701
52,0.9760739072552422
53,0.9464225063476793
54,0.9167711054401164
55,0.8871197045325535
56,0.8574683036249906
57,0.8278169027174276
58,0.7981655018098647
59,0.7685141009023018
60,0.7388626999947389
61,0.709211299087176
62,0.679559898179613
63,0.6499084972720501
64,0.6226220716507388
65,0.5968891943696959
66,0.5711563170886531
67,0.5454234398076102
68,0.5196905625265673
69,0.4939576852455244
70,0.4682248079644815
71,0.4424919306834387
72,0.43071029975814834
73,0.4200755840095261
74,0.40944086826090387
75,0.39880615251228163
76,0.3881714367636594
77,0.3775367210150372
78,0.36738438594001416
79,0.36711490603317637
80,0.36684542612633864
81,0.36657594621950085
82,0.3663064663126631
83,0.3660369864058253
84,0.36576750649898754
85,0.3654980265921498
86,0.365228546685312
87,0.3649590667784743
88,0.3646895868716365
89,0.36442010696479876
90,0.3761071891079515
91,0.39559216354230514
92,0.41507713797665885
93,0.43456211241101256
94,0.45404708684536627
95,0.4735320612797199
96,0.49301703571407407
97,0.5068768652187875
98,0.5142284666094311
99,0.5215800680000747
100,0.5289316693907185
101,0.5362832707813621
102,0.5436348721720057
103,0.5509864735626494
104,0.558338074953293
105,0.5656896763439366
106,0.5730412777345804
107,0.580392879125224
108,0.5877444805158676
109,0.5800722628094082
110,0.5631192101964936
111,0.546166157583579
112,0.5292131049706644
113,0.51226005235775
114,0.49530699974483533
115,0.4783539471319208
116,0.46140089451900623
117,0.44444784190609166
118,0.4274947892931771
119,0.4105417366802625
120,0.395806308860426
121,0.38819711520748507
122,0.38058792155454413
123,0.3729787279016032
124,0.36536953424866225
125,0.35776034059572126
126,0.3501511469427803
127,0.3425419532898394
128,0.33493275963689845
129,0.3273235659839575
130,0.3200148918125261
131,0.3135204759614225
132,0.30702606011031897
133,0.30053164425921536
134,0.29403722840811175
135,0.2875428125570082
136,0.2811258868030008
137,0.2758498898945076
138,0.2705738929860144
139,0.26529789607752124
140,0.26002189916902807
141,0.2547459022605349
142,0.24946990535204172
143,0.24419390844354855
144,0.23891791153505537
145,0.23364191462656217
146,0.2302294369376386
147,0.22711319773149688
148,0.2239969585253552
149,0.22088071931921352
150,0.21776448011307184
151,0.21464824090693013
152,0.21153200170078845
153,0.20841576249464677
154,0.2052995232885051
155,0.20218328408236338
156,0.1990670448762217
157,0.19595080567008002
158,0.19283456646393832
159,0.19001042369188295
160,0.18720126063493675
161,0.1843920975779905
162,0.1815829345210443
163,0.17877377146409812
164,0.17596460840715192
165,0.17315544535020572
166,0.17034628229325952
167,0.16753711923631331
168,0.1647279561793671
